
City, Confirmed Cases
Saugus,0
Saugus/Canyon Country,0
South Antelope Valley,0
South El Monte,0
South San Gabriel,0
South Whittier,3
Southeast Antelope Valley,0
Stevenson Ranch,--
Sun Village,0
Sunrise Village,0
Twin Lakes/Oat Mountain,0
Val Verde,0
Valencia,--
Valinda,--
View Park/Windsor Hills,0
Walnut Park,0
West Antelope Valley,0
West Carson,5
West LA,--
West Puente Valley,0
West Rancho Dominguez,0
West Whittier/Los Nietos,0
Westfield/Academy Hills,0
Westhills,0
White Fence Farms,0
Whittier,0
Willowbrook,1
Wiseburn,--
Under Investigation,143
